b,d,n,r,u,c,a,q,domain,f,P,t,p
L,littlegreenfootballs.com,Little Green Footballs,H,https://mediabiasfactcheck.com/little-green-footballs/,H,L,[],littlegreenfootballs.com,littlegreenfootballs,75.0,Green_Footballs,
CP,littlethings.com,LittleThings,M,https://mediabiasfactcheck.com/littlethings/,L,M,[],littlethings.com,,,,
C,live5news.com,WCSC - Charleston News,H,https://mediabiasfactcheck.com/wcsc-charleston-news/,H,M,[],live5news.com,,,,
CP,liveaction.org,Live Action,M,https://mediabiasfactcheck.com/live-action/,L,M,[],liveaction.org,liveaction,69.0,liveaction,
FN,liveleak.com,Live Leak,M,https://mediabiasfactcheck.com/liveleak/,L,H,"['PS', 'LT', 'FC']",liveleak.com,liveleak.official,90.0,,
C,livemint.com,Mint Newspaper (livemint.com),M,https://mediabisfactcheck.com/mint-newspaper-bias/,M,H,[],livemint.com,,,,
PS,livescience.com,Live Science,H,https://mediabiasfactcheck.com/live-science/,H,H,[],livescience.com,livescience?cmpid,94.0,LiveScience,
C,liveuamap.com,Live Universal Awareness Map,MF,https://mediabiasfactcheck.com/live-universal-awareness-map-bias/,H,H,[],liveuamap.com,,,,
CP,livingresistance.com,Living Resistance,M,https://mediabiasfactcheck.com/living-resistance/,L,N,[],livingresistance.com,,27.0,,
C,ljworld.com,Lawrence Journal-World,H,https://mediabiasfactcheck.com/lawrence-journal-world-bias/,H,M,[],ljworld.com,,,,
RC,local12.com,WKRC - Cincinnati,H,https://mediabiasfactcheck.com/wkrc-cincinnati-bias/,H,M,[],local12.com,,,,
RC,local21news.com,WHP - Harrisburg News,H,https://mediabiasfactcheck.com/whp-harrisburg-news/,H,M,[],local21news.com,,,,
C,localdvm.com,WDVM - DCW 50,H,https://mediabiasfactcheck.com/wdvm-dcw-50/,H,M,[],localdvm.com,,,,
C,localmemphis.com,WATN - Memphis News,H,https://mediabiasfactcheck.com/watn-memphis-news-bias/,H,M,[],localmemphis.com,,,,
C,localnews8.com,KIFI - Idaho Falls News,H,https://mediabiasfactcheck.com/kifi-idaho-falls-news-bias/,H,M,[],localnews8.com,,,,
C,localsyr.com,WSYR - Syracuse News,H,https://mediabiasfactcheck.com/wsyr-syracuse-news-bias/,H,M,[],localsyr.com,,,,
C,loganwoodbine.com,Twiner-Herald,H,https://mediabiasfactcheck.com/twiner-herald-bias/,H,L,[],loganwoodbine.com,,,,
C,logically.ai,Logically,H,https://mediabiasfactcheck.com/logically/,H,M,[],logically.ai,,,,
LC,lohud.com,The Journal News,H,https://mediabiasfactcheck.com/the-journal-news/,H,M,[],lohud.com,LoHud,65.0,lohud,
C,lompocrecord.com,Lompoc Record,H,https://mediabiasfactcheck.com/lompoc-record/,H,L,[],lompocrecord.com,lompocrecord,63.0,lompocrecord,
FN,londonwebnews.com,London Web News,L,https://mediabiasfactcheck.com/london-web-news/,L,L,"['PS', 'LT', 'PG', 'FN']",londonwebnews.com,,24.0,londonwebnews,
R,loneconservative.com,Lone Conservative,M,https://mediabiasfactcheck.com/lone-conservative/,M,L,[],loneconservative.com,loneconservative,32.0,loconservative,
FN,loonwatch.com,LoonWatch,L,https://mediabiasfactcheck.com/loonwatch/,L,L,[],loonwatch.com,LoonWatch,66.0,,
FN,loser.com,Loser.com,M,https://mediabiasfactcheck.com/loser-com/,L,N,[],loser.com,,53.0,,
FN,louderwithcrowder.com,Louder with Crowder,M,https://mediabiasfactcheck.com/louder-with-crowder/,L,M,"['P', 'PS', 'FFC']",louderwithcrowder.com,stevencrowderofficial,58.0,scrowder,
FN,louisvillecitywire.com,Louisville City Wire,M,https://mediabiasfactcheck.com/louisville-city-wire-bias/,L,L,"['LT', 'FC', 'IM']",louisvillecitywire.com,,,,
L,loveknowledge.org,Love Knowledge,M,https://mediabiasfactcheck.com/love-knowledge/,M,N,[],loveknowledge.org,,10.0,,
C,lovelycitizen.com,Lovely County Citizen,H,https://mediabiasfactcheck.com/lovely-county-citizen-bias/,H,L,[],lovelycitizen.com,,,,
FN,lowedeltanews.com,Lowe Delta News,M,https://mediabiasfactcheck.com/lowe-delta-news/,L,L,"['LT', 'FC', 'IM']",lowedeltanews.com,,3.0,,
RC,lowndessignal.com,Lowndes Signal,H,https://mediabiasfactcheck.com/lowndes-signal-bias/,H,L,[],lowndessignal.com,,,,
R,lozierinstitute.org,Lozier Institute,M,https://mediabiasfactcheck.com/lozier-institute/,M,L,[],lozierinstitute.org,LozierInstitute,51.0,LozierInstitute,
RC,lubbockonline.com,Lubbock Avalanche Journal,H,https://mediabiasfactcheck.com/lubbock-avalanche-journal/,H,L,[],lubbockonline.com,,68.0,,
PS,lung.org,American Lung Association,H,https://mediabiasfactcheck.com/american-lung-association/,H,M,[],lung.org,,,,
R,lyincomey.com,Lyin' Comey,M,https://mediabiasfactcheck.com/lyin-comey/,M,N,[],lyincomey.com,GOP,48.0,GOP,
RC,lynx.media,Lynx Media,H,https://mediabiasfactcheck.com/lynx-media/,H,N,[],lynx.media,LynxMediaNews,19.0,,
RC,m24.ru,Moscow 24,M,https://mediabiasfactcheck.com/moscow-24/,M,H,[],m24.ru,,,,
FN,mabusinessdaily.com,Massachusetts Business Daily,H,https://mediabiasfactcheck.com/massachusetts-business-daily-bias/,L,L,"['LT', 'FC', 'IM']",mabusinessdaily.com,,,,
LC,macleans.ca,Maclean's Magazine,H,https://mediabiasfactcheck.com/macleans-magazine/,H,M,[],macleans.ca,macleans,90.0,macleans,
FN,maconreporter.com,Macon Reporter,M,https://mediabiasfactcheck.com/macon-reporter-bias/,L,L,"['LT', 'FC', 'IM']",maconreporter.com,,,,
FN,macontimes.com,Macon Times,M,https://mediabiasfactcheck.com/macon-times/,L,L,"['LT', 'FC', 'IM']",macontimes.com,,,,
FN,madamericannetwork.com,Mad American Network,L,https://mediabiasfactcheck.com/mad-american-network/,L,N,[],madamericannetwork.com,,11.0,,
S,madhousemagazine.com,Madhouse Magazine,,https://mediabiasfactcheck.com/madhouse-magazine/,NA,L,[],madhousemagazine.com,,24.0,,
C,madison.com/wsj,Wisconsin State Journal,H,https://mediabiasfactcheck.com/wisconsin-state-journal/,H,M,[],madison.com/wsj,WisconsinStateJournal,67.0,madisondotcom,/wsj
FN,madworldnews.com,Mad World News,L,https://mediabiasfactcheck.com/mad-world-news/,L,L,"['P', 'LT', 'M', 'FN']",madworldnews.com,MadWorldNewsCorp,63.0,MadWorldNews,
FN,maga2020.us,Zox (Maga2020.us),VL,https://mediabiasfactcheck.com/zox-maga2020-us/,L,N,"['C', 'FN']",maga2020.us,,5.0,,
FN,magadailyreport.com,MAGA Daily Report,M,https://mediabiasfactcheck.com/maga-daily-report/,L,N,"['PS', 'LT']",magadailyreport.com,,20.0,,
FN,magapill.com,MagaPill,M,https://mediabiasfactcheck.com/magapill/,L,L,[],magapill.com,,51.0,,
FN,magavoter.com,MAGAVoter.com,L,https://mediabiasfactcheck.com/magavoter-com/,L,N,[],magavoter.com,,21.0,,
LC,magazine.atavist.com,Atavist Magazine,VH,https://mediabiasfactcheck.com/atavist-magazine/,H,M,[],magazine.atavist.com,,62.0,atavist,
C,magicvalley.com,Times-News (Idaho),H,https://mediabiasfactcheck.com/times-news-idaho/,H,M,[],magicvalley.com,thetimesnews,69.0,twinfallstn,
FN,magicvalleytimes.com,Magic Valley Times,M,https://mediabiasfactcheck.com/magic-valley-times/,L,L,"['LT', 'FC', 'IM']",magicvalleytimes.com,,,,
LC,mainebeacon.com,Maine Beacon,H,https://mediabiasfactcheck.com/maine-beacon/,H,L,[],mainebeacon.com,mainepeople,39.0,mebeacon,
FN,mainebusinessdaily.com,Maine Business Daily,M,https://mediabiasfactcheck.com/maine-business-daily-bias/,H,L,"['LT', 'FC', 'IM']",mainebusinessdaily.com,,,,
FN,mainehighlandsnews.com,Maine Highlands News,M,https://mediabiasfactcheck.com/maine-highlands-news-bias/,L,L,"['LT', 'FC', 'IM']",mainehighlandsnews.com,,,,
FN,mainelakesnews.com,Maine Lakes News,M,https://mediabiasfactcheck.com/maine-lakes-news-bias/,L,L,"['LT', 'FC', 'IM']",mainelakesnews.com,,,,
LC,mainichi.jp,Mainichi Shimbun,H,https://mediabiasfactcheck.com/mainichi-shimbun-bias-credibility/,H,H,[],mainichi.jp,mainichishimbun,90.0,mainichi,
FN,mainstreamfakemedia.com,Mainstream Fake Media,L,https://mediabiasfactcheck.com/mainstream-fake-media-bias/,L,L,"['PS', 'LT']",mainstreamfakemedia.com,,,,
RC,malaymail.com,Malay Mail,MF,https://mediabiasfactcheck.com/malay-mail-bias/,H,H,[],malaymail.com,,,,
RC,malaysia-today.net,Malaysia Today,M,https://mediabiasfactcheck.com/malaysia-today/,M,M,[],malaysia-today.net,,55.0,,
LC,malaysiakini.com,Malaysiakini,MF,https://mediabiasfactcheck.com/malaysiakini/,H,H,[],malaysiakini.com,,,,
FN,manateereview.com,Manatee Review,M,https://mediabiasfactcheck.com/manatee-review/,L,L,"['LT', 'FC', 'IM']",manateereview.com,,,,
R,manhattan-institute.org,Manhattan Institute for Policy Research,M,https://mediabiasfactcheck.com/manhattan-institute-for-policy-research/,M,M,[],manhattan-institute.org,ManhattanInst,76.0,ManhattanInst,
FN,manilabusinessdaily.com,Manila Business Daily,H,https://mediabiasfactcheck.com/manila-business-daily-bias/,L,L,"['LT', 'FC', 'IM']",manilabusinessdaily.com,,,,
LC,maplight.org,Maplight,H,https://mediabiasfactcheck.com/maplight/,H,N,[],maplight.org,maplight,70.0,MapLight,
RC,marginalrevolution.com,Marginal Revolution,H,https://mediabiasfactcheck.com/marginal-revolution/,H,M,[],marginalrevolution.com,,82.0,,
C,mariettatimes.com,The Marietta Times,H,https://mediabiasfactcheck.com/the-marietta-times/,H,M,[],mariettatimes.com,,44.0,,
FN,marinleader.com,Marin Leader,M,https://mediabiasfactcheck.com/marin-leader/,L,L,"['LT', 'FC', 'IM']",marinleader.com,,4.0,,
RC,marketwatch.com,MarketWatch,H,https://mediabiasfactcheck.com/marketwatch/,H,H,[],marketwatch.com,marketwatch,83.0,marketwatch,
FN,martinlutherking.org,MartinLutherKing.org,VL,https://mediabiasfactcheck.com/martinlutherking-org/,L,N,[],martinlutherking.org,,45.0,,
C,martinsvillebulletin.com,Martinsville Bulletin,H,https://mediabiasfactcheck.com/martinsville-bulletin-bias/,H,L,[],martinsvillebulletin.com,,,,
L,marxist.com,In Defence of Marxism,MF,https://mediabiasfactcheck.com/in-defence-of-marxism/,H,M,[],marxist.com,,70.0,marxistcom,
L,mashable.com,Mashable,MF,https://mediabiasfactcheck.com/mashable/,H,H,[],mashable.com,mashable,96.0,mashable,
FN,matsutimes.com,Mat-Su Times,M,https://mediabiasfactcheck.com/mat-su-times/,L,L,"['LT', 'FC', 'IM']",matsutimes.com,,2.0,,
LC,mauinews.com,The Maui News,H,https://mediabiasfactcheck.com/the-maui-news/,H,M,[],mauinews.com,,51.0,,
FN,mauireporter.com,Maui Reporter,M,https://mediabiasfactcheck.com/maui-reporter/,L,L,"['LT', 'FC', 'IM']",mauireporter.com,,,,
C,mavenroundtable.io,Political Storm,H,https://mediabiasfactcheck.com/political-storm/,H,L,[],mavenroundtable.io,,42.0,ConservMex,
L,mavenroundtable.io/theintellectualist,The Intellectualist,M,https://mediabiasfactcheck.com/the-intellectualist/,M,L,[],mavenroundtable.io/theintellectualist,,33.0,,/theintellectualist
PS,mayoclinic.org,Mayo Clinic,H,https://mediabiasfactcheck.com/mayo-clinic/,H,H,[],mayoclinic.org,MayoClinic,95.0,mayoclinic,
LC,mb.com.ph,Manila Bulletin,M,https://mediabiasfactcheck.com/manila-bulletin/,M,H,[],mb.com.ph,,67.0,,
FN,mbganews.com,MBGA - Make Britain Great Again,L,https://mediabiasfactcheck.com/mbga-make-britain-great/,L,N,[],mbganews.com,redpillfactory,13.0,,
C,mcall.com,The Morning Call,H,https://mediabiasfactcheck.com/the-morning-call/,H,M,[],mcall.com,mcall.lv,82.0,mcall,
LC,mcdonoughvoice.com,McDonough County Voice,H,https://mediabiasfactcheck.com/mc-donough-county-voice-bias/,H,L,[],mcdonoughvoice.com,,,,
C,mcdowellnews.com,McDowell News,H,https://mediabiasfactcheck.com/mcdowell-news-bias/,H,M,[],mcdowellnews.com,,,,
FN,mchenrytimes.com,McHenry Times,M,https://mediabiasfactcheck.com/mchenry-times/,L,L,"['LT', 'FC', 'IM']",mchenrytimes.com,,,,
FN,mcleancountytimes.com,McLean County Times,M,https://mediabiasfactcheck.com/mclean-county-times/,L,L,"['LT', 'FC', 'IM']",mcleancountytimes.com,,,,
S,mcsweeneys.net,McSweeney's Internet Tendency,,https://mediabiasfactcheck.com/mcsweeneys-internet-tendency/,NA,M,[],mcsweeneys.net,,64.0,,
FN,mdbusinessdaily.com,Maryland Business Daily,M,https://mediabiasfactcheck.com/maryland-business-daily-bias/,L,L,"['LT', 'FC', 'IM']",mdbusinessdaily.com,,,,
FN,mdstatewire.com,Maryland State Wire,M,https://mediabiasfactcheck.com/maryland-state-wire-bias/,L,L,"['LT', 'FC', 'IM']",mdstatewire.com,,,,
L,meanlefthook.com,Mean Left Hook,M,https://mediabiasfactcheck.com/mean-left-hook/,M,N,[],meanlefthook.com,MeanLeftHookPolitics,18.0,,
RC,meaww.com,MEAWW,M,https://mediabiasfactcheck.com/media-entertainment-arts-worldwide-meaww-com/,M,H,[],meaww.com,,,,
C,mediabiasfactcheck.com,Media Bias/Fact Check,VH,http://mediabiasfactcheck.com/,H,M,[],mediabiasfactcheck.com,mediabiasfactcheck,57.0,MBFC_News,
R,mediacircus.com,Media Circus,M,https://mediabiasfactcheck.com/media-circus/,M,L,[],mediacircus.com,,25.0,MediaCircusCom,
R,mediaequalizer.com,Media Equalizer,M,https://mediabiasfactcheck.com/media-equalizer/,M,L,[],mediaequalizer.com,,45.0,,
CP,mediafactwatch.com,Media Fact Watch,VL,https://mediabiasfactcheck.com/media-fact-watch/,L,L,[],mediafactwatch.com,,36.0,,
LC,mediafiledc.com,MediaFile,H,https://mediabiasfactcheck.com/mediafile/,H,L,[],mediafiledc.com,mediafiledc,34.0,,
L,mediaite.com,Mediaite,MF,https://mediabiasfactcheck.com/mediaite/,H,H,[],mediaite.com,mediaite,84.0,mediaite,
L,mediamatters.org,Media Matters,H,https://mediabiasfactcheck.com/media-matters/,H,M,[],mediamatters.org,Mediamatters,87.0,mmfa,
LC,mediapart.fr,Mediapart,H,https://mediabiasfactcheck.com/mediapart-bias-credibility/,H,H,[],mediapart.fr,,,,
C,mediapost.com,MediaPost,H,https://mediabiasfactcheck.com/mediapost-bias/,H,M,[],mediapost.com,,,,
R,mediarightnews.com,Media Right News,MF,https://mediabiasfactcheck.com/media-right-news-bias/,M,L,[],mediarightnews.com,,,,
CP,mediaroots.org,Media Roots,M,https://mediabiasfactcheck.com/media-roots/,L,N,[],mediaroots.org,MediaRootsNews,48.0,mediarootsnews,
C,mediashift.org,MediaShift,H,https://mediabiasfactcheck.com/mediashift/,H,N,[],mediashift.org,mediashift,67.0,mediashiftpod,
R,mediatrackers.org,Media Trackers,M,https://mediabiasfactcheck.com/media-trackers/,M,N,[],mediatrackers.org,,43.0,,
FN,mediazone.news,Media Zone,L,https://mediabiasfactcheck.com/media-zone/,L,N,[],mediazone.news,grandpx.news,9.0,,
CP,medicalcensorship.com,Medical Censorship News,VL,https://mediabiasfactcheck.com/medical-censorship-news-bias/,L,L,[],medicalcensorship.com,,,,
CP,medicaldaily.com,Medical Daily,M,https://mediabiasfactcheck.com/medical-daily/,L,M,[],medicaldaily.com,MedicalDaily,81.0,medicaldaily,
CP,medicalkidnap.com,Medical Kidnap,VL,https://mediabiasfactcheck.com/medical-kidnap/,L,L,[],medicalkidnap.com,,,,
CP,medicalmedium.com,Medical Medium,L,https://mediabiasfactcheck.com/medical-medium/,L,M,[],medicalmedium.com,,43.0,,
PS,medicalnewstoday.com,Medical News Today,H,https://mediabiasfactcheck.com/medical-news-today/,H,H,[],medicalnewstoday.com,MedicalNewsToday,94.0,mnt,
PS,medicalxpress.com,Medical XPress,H,https://mediabiasfactcheck.com/medicalxpress/,H,M,[],medicalxpress.com,medicalxpress,83.0,,
LC,medium.com,Medium,M,https://mediabiasfactcheck.com/medium/,M,H,[],medium.com,,97.0,Medium,
PS,medpagetoday.com,Medpage Today,VH,https://mediabiasfactcheck.com/medpage-today/,H,M,[],medpagetoday.com,,,,
PS,medscape.com,Medscape,VH,https://mediabiasfactcheck.com/medscape/,H,H,[],medscape.com,medscape,93.0,medscape,
CP,medusamagazine.com,Medusa Magazine,M,https://mediabiasfactcheck.com/medusa-magazine/,L,N,[],medusamagazine.com,Medusa,45.0,,
L,meduza.io,Meduza,H,https://mediabiasfactcheck.com/meduza/,H,H,[],meduza.io,meduzaenglish,87.0,meduzaproject,
L,meidastouch.com,MeidasTouch,M,https://mediabiasfactcheck.com/meidastouch/,M,L,[],meidastouch.com,,36.0,,
C,memeorandum.com,Memeorandum,M,https://mediabiasfactcheck.com/memeorandum/,M,M,[],memeorandum.com,,69.0,memeorandum,
C,memepoliceman.com,The Meme Policeman,MF,https://mediabiasfactcheck.com/the-meme-policeman/,H,L,[],memepoliceman.com,memepoliceman,28.0,,
FN,mena.org.eg/en,Middle East News Agency (MENA),M,https://mediabiasfactcheck.com/middle-east-news-agency-mena-bias/,L,M,"['P', 'PS']",mena.org.eg/en,,,,/en
C,mendocinobeacon.com,Mendocino Beacon,H,https://mediabiasfactcheck.com/mendocino-beacon-bias/,H,L,[],mendocinobeacon.com,,,,
LC,menshealth.com,Men's Health Magazine,MF,https://mediabiasfactcheck.com/mens-health-bias/,H,H,[],menshealth.com,,,,
C,mentalfloss.com,Mental Floss,H,https://mediabiasfactcheck.com/mental-floss/,H,H,[],mentalfloss.com,mentalflossmagazine,88.0,mental_floss,
R,mercatornet.com,Mercatornet,M,https://mediabiasfactcheck.com/mercatornet/,H,M,[],mercatornet.com,None,62.0,mercatornet,
FN,mercedtimes.com,Merced Times,M,https://mediabiasfactcheck.com/merced-times/,L,L,"['LT', 'FC', 'IM']",mercedtimes.com,,4.0,,
CP,mercola.com,Mercola,L,https://mediabiasfactcheck.com/mercola/,L,H,[],mercola.com,doctor.health,93.0,mercola,
LC,mercurynews.com,San Jose Mercury News,H,https://mediabiasfactcheck.com/san-jose-mercury-news/,H,H,[],mercurynews.com,mercurynews,94.0,mercnews,
C,merionwest.com,Merion West,H,https://mediabiasfactcheck.com/merion-west/,H,L,[],merionwest.com,merionwest,33.0,merionwest,
FN,merrimackvalleynews.com,Merrimack Valley News,M,https://mediabiasfactcheck.com/merrimack-valley-news-bias/,L,L,"['LT', 'FC', 'IM']",merrimackvalleynews.com,,,,
L,merryjane.com,Merry Jane,M,https://mediabiasfactcheck.com/merry-jane/,M,M,[],merryjane.com,merryjane,69.0,merryjane,
C,messengernews.net,Fort Dodge Messenger,H,https://mediabiasfactcheck.com/forty-dodge-messenger-bias/,H,M,[],messengernews.net,,,,
PS,metabunk.org,Metabunk,H,https://mediabiasfactcheck.com/metabunk/,H,L,[],metabunk.org,bee.kay.1004837,50.0,,
FN,metricmedianews.com,Metric Media,M,https://mediabiasfactcheck.com/metric-media/,L,L,"['LT', 'FC', 'IM']",metricmedianews.com,,17.0,,
LC,metro.co.uk,Metro UK,M,https://mediabiasfactcheck.com/metro-uk/,M,H,[],metro.co.uk,metrouk,94.0,MetroUK,
LC,metro.us,Metro,H,https://mediabiasfactcheck.com/metro/,H,M,[],metro.us,MetroNewsUS,81.0,Metro_US,
FN,metroeastsun.com,Metro East Sun,M,https://mediabiasfactcheck.com/metro-east-sun/,L,L,"['LT', 'FC', 'IM']",metroeastsun.com,,,,
FN,metrolexnews.com,Metro Lex News,M,https://mediabiasfactcheck.com/metro-lex-news-bias/,L,L,"['LT', 'FC', 'IM']",metrolexnews.com,,,,
L,metrotimes.com,Detroit Metro News,H,https://mediabiasfactcheck.com/detroit-metro-times/,H,M,[],metrotimes.com,,,,
FN,metrowesttimes.com,Metro West West,L,https://mediabiasfactcheck.com/metro-west-times-bias/,L,L,"['LT', 'FC', 'IM']",metrowesttimes.com,,,,
LC,mexiconewsdaily.com,Mexico Daily News,H,https://mediabiasfactcheck.com/mexico-daily-news/,H,M,[],mexiconewsdaily.com,mexiconewsdaily,61.0,mexicond,
L,mg.co.za,Mail & Guardian,M,https://mediabiasfactcheck.com/mail-guardian-bias/,M,M,[],mg.co.za,,,,
LC,miami.cbslocal.com,WFOR - CBS Miami,H,https://mediabiasfactcheck.com/wfor-cbs-miami/,H,H,[],miami.cbslocal.com,,,,
FN,miamicourant.com,Miami Courant,M,https://mediabiasfactcheck.com/miami-courant/,L,L,"['LT', 'FC', 'IM']",miamicourant.com,,,,
LC,miamiherald.com,Miami Herald,H,https://mediabiasfactcheck.com/miami-herald/,H,H,[],miamiherald.com,None,93.0,,
LC,miaminewtimes.com,Miami New Times,H,https://mediabiasfactcheck.com/miami-new-times-2/,H,M,[],miaminewtimes.com,miaminewtimes,79.0,miaminewtimes,
FN,miamistandard.news,Miami Standard,M,https://mediabiasfactcheck.com/miami-standard-bias/,L,M,"['P', 'PS', 'LT', 'FFC', 'PG', 'PSE']",miamistandard.news,,,,
RC,miamivalleytoday.com,Miami Valley Today,H,https://mediabiasfactcheck.com/miami-valley-today-bias/,H,L,[],miamivalleytoday.com,,,,
LC,mic.com,MIC,H,https://mediabiasfactcheck.com/mic/,H,M,[],mic.com,MicMedia,83.0,mic,
FN,micdroppolitics.com,Mic Drop Politics,L,https://mediabiasfactcheck.com/mic-drop-politics-bias/,L,L,"['C', 'P', 'PS', 'LT', 'FC']",micdroppolitics.com,,,,
FN,midcoasttoday.com,Mid Coast Today,M,https://mediabiasfactcheck.com/mid-coast-today-bias/,L,L,"['LT', 'FC', 'IM']",midcoasttoday.com,,,,
FN,middleamericandemocrat.com,Middle American Democrat,M,https://mediabiasfactcheck.com/middle-american-democrat-bias-report/,L,N,"['LT', 'FFC', 'M']",middleamericandemocrat.com,,13.0,,
LC,middleeasteye.net,Middle East Eye,MF,https://mediabiasfactcheck.com/middle-east-eye/,H,M,[],middleeasteye.net,,,,
FN,midmassnews.com,Mid Massachusetts News,M,https://mediabiasfactcheck.com/mid-massachusetts-news-bias/,L,L,"['LT', 'FC', 'IM']",midmassnews.com,,,,
LC,militarist-monitor.org,Militarist Monitor,H,https://mediabiasfactcheck.com/right-web/,H,M,[],militarist-monitor.org,,52.0,,
C,military.com,Military.com,H,https://mediabiasfactcheck.com/military-com/,H,H,[],military.com,militarydotcom,91.0,militarydotcom,
C,militarytimes.com,Military Times,H,https://mediabiasfactcheck.com/military-times/,H,H,[],militarytimes.com,MilitaryTimesOnline,64.0,,
R,milliyet.com.tr,Milliyet,M,https://mediabiasfactcheck.com/milliyet/,M,H,[],milliyet.com.tr,,71.0,,
FN,milo.yiannopoulos.net,MILO,M,https://mediabiasfactcheck.com/milo-news/,L,N,[],milo.yiannopoulos.net,,48.0,,
L,milwaukeeindependent.com,Milwaukee Independent,MF,https://mediabiasfactcheck.com/milwaukee-independent/,M,L,[],milwaukeeindependent.com,,,,
RC,mininggazette.com,Daily Mining Gazette,H,https://mediabiasfactcheck.com/daily-mining-gazette/,H,L,[],mininggazette.com,,42.0,,
C,miningjournal.net,The Mining Journal,H,https://mediabiasfactcheck.com/the-mining-journal-bias/,H,L,[],miningjournal.net,,,,
LC,minnesota.cbslocal.com,WCCO - CBS Minnesota,H,https://mediabiasfactcheck.com/wcco-cbs-minnesota/,H,H,[],minnesota.cbslocal.com,,,,
LC,mirror.co.uk,Daily Mirror,M,https://mediabiasfactcheck.com/daily-mirror/,M,H,[],mirror.co.uk,DailyMirror,96.0,DailyMirror,
R,mises.org,Mises Institute,M,https://mediabiasfactcheck.com/mises-daily/,M,M,[],mises.org,mises.institute,86.0,,
LC,mississippitoday.org,Mississippi Today,H,https://mediabiasfactcheck.com/mississippi-today-bias/,H,M,[],mississippitoday.org,,,,
C,missoulian.com,Missoulian,H,https://mediabiasfactcheck.com/missoulian/,H,M,[],missoulian.com,Missoulian,77.0,missoulian,
FN,mixi.media,Mixi.Media,L,https://mediabiasfactcheck.com/mixi-media/,L,M,"['PS', 'LT', 'PSE']",mixi.media,,30.0,,
C,mlive.com,MLive (Michigan - Advance Newpapers),H,https://mediabiasfactcheck.com/mlive-michigan-booth-newspapers/,H,H,[],mlive.com,,,,
FN,mobilecourant.com,Mobile Courant,M,https://mediabiasfactcheck.com/mobile-courant/,L,L,"['LT', 'FC', 'IM']",mobilecourant.com,,3.0,,
CP,modernalternativemama.com,Modern Alternative Mama,M,https://mediabiasfactcheck.com/modern-alternative-mama/,L,L,[],modernalternativemama.com,,53.0,modernamama,
C,modernhealthcare.com,Modern Healthcare,H,https://mediabiasfactcheck.com/modern-healthcare/,H,M,[],modernhealthcare.com,,,,
L,modernliberals.com,Modern Liberals,M,https://mediabiasfactcheck.com/modern-liberals/,M,L,[],modernliberals.com,ModernLiberals,26.0,,
FN,mohavetoday.com,Mohave Today,M,https://mediabiasfactcheck.com/mohave-today/,L,L,"['LT', 'FC', 'IM']",mohavetoday.com,,5.0,,
L,molad.org,Molad The Center for the Renewal of Israeli Democracy,H,https://mediabiasfactcheck.com/molad-center-renewal-israeli-democracy/,H,L,[],molad.org,MoladTheCenterForTheRenewalOfIsraeliDemocracy,33.0,,
FN,molonlabemedia.com,Molon Labe Media,L,https://mediabiasfactcheck.com/molon-labe-media/,L,N,[],molonlabemedia.com,molonlabemedia,21.0,molonlabemedia,
FN,mondoweiss.net,Mondoweiss,M,https://mediabiasfactcheck.com/mondoweiss/,L,L,"['P', 'M', 'H']",mondoweiss.net,mondoweiss,77.0,mondoweiss,
LC,moneytalksnews.com,Money Talks News,H,https://mediabiasfactcheck.com/money-talks-news-bias/,H,M,[],moneytalksnews.com,,,,
FN,montereytimes.com,Monterey Times,M,https://mediabiasfactcheck.com/monterey-times/,L,L,"['LT', 'FC', 'IM']",montereytimes.com,,4.0,,
LC,montgomeryadvertiser.com,Montgomery Advertiser,H,https://mediabiasfactcheck.com/montgomery-advertiser-bias/,H,M,[],montgomeryadvertiser.com,,,,
FN,montgomerymdnews.com,Montgomery News,M,https://mediabiasfactcheck.com/montgomery-news-bias/,L,L,"['LT', 'FC', 'IM']",montgomerymdnews.com,,,,
L,monthlyreview.org,Monthly Review,H,https://mediabiasfactcheck.com/monthly-review/,H,L,[],monthlyreview.org,monthly.review.magazine,73.0,monthly_review,
C,montreal.citynews.ca,CityNews Montreal,H,https://mediabiasfactcheck.com/citynews-montreal-bias/,H,H,[],montreal.citynews.ca,,,,
RC,montrealgazette.com,Montreal Gazette,H,https://mediabiasfactcheck.com/montreal-gazette/,H,H,[],montrealgazette.com,montrealgazette,89.0,mtlgazette,
FN,moonbattery.com,MoonBattery,L,https://mediabiasfactcheck.com/moonbattery/,L,L,"['C', 'P', 'M', 'FN']",moonbattery.com,,66.0,,
C,mooresvilletribune.com,Mooresville Tribune,H,https://mediabiasfactcheck.com/mooresville-tribune-bias/,H,L,[],mooresvilletribune.com,,,,
LC,morningbrew.com,Morning Brew,H,https://mediabiasfactcheck.com/morning-brew-bias/,H,H,[],morningbrew.com,,,,
C,morningconsult.com,Morning Consult,VH,https://mediabiasfactcheck.com/morning-consult/,H,M,[],morningconsult.com,MorningConsult,70.0,morningconsult,
S,moronmajority.com,MoronMajority,,https://mediabiasfactcheck.com/moronmajority-com/,NA,L,[],moronmajority.com,,15.0,,
PS,mosaicscience.com,Mosaic,H,https://mediabiasfactcheck.com/mosaic/,H,L,[],mosaicscience.com,mosaicscience,62.0,mosaicscience,
LC,mothership.sg,Mothership,M,https://mediabiasfactcheck.com/mothership-singapore/,M,H,[],mothership.sg,,,,
